qor_i18n.form.target,Target,目标
qor_i18n.form.translation_title,Translation,翻译
qor_media_library.form.cancel,,取消
qor_media_library.form.choose_file,,Choose File
qor_media_library.form.choose_file.max_hint,,Choose up to {{$1}} item(s)
qor_media_library.form.crop_image,,Crop image
qor_media_library.form.crop_image.undo_delete,,取消删除
qor_media_library.form.ok,,OK
qor_media_library.form.save,,SAVE
qor_notification.actions.Check It Out,,Check It Out
qor_notification.actions.Confirm,,确定
qor_notification.actions.Dismiss,,不看了
qor_notification.hints.archived_notifications,,Archived Notifications
qor_notification.hints.load_more,,查看更多...
qor_notification.hints.loading,,加载中...
qor_notification.hints.undo,,取消
qor_publish.Coming Online,,Coming Online
qor_publish.Going Online,,Going Offline
qor_publish.action_bar.include_content_that_not_publish_ready,Include content that is not Publish-ready,
qor_publish.action_bar.time_travel,Time Travel,
qor_publish.action_bar.title.filter_by,TIME TRAVEL/PUBLISH STATE…,
qor_publish.schedule.change_values_for_this_version_only,,Change values for this version only
qor_publish.schedule.custom,,Custom
qor_publish.schedule.schedule_time,,Schedule Time
qor_publish.schedule.scheduled_publishing,,All Scheduled Publishing
qor_publish.schedule.this_month,,本月
qor_publish.schedule.this_week,,这周
qor_publish.schedule.today,,今日
qor_seo.Default Page.title,,默认页面
qor_seo.Product Page.title,,产品页
qor_seo.alert.meta_updated_failed,,哎呀呀！除了点错误，请重试！
qor_seo.alert.meta_updated_successfully,,Meta data updated successful!
qor_seo.use_default,,Use Defaults
qor_widget.form.edit,Edit Widget,Edit Widget
qor_worker.actions.back_to_lists,,Back To Lists
qor_worker.filter.all,,All Jobs
qor_worker.filter.done,,Done
qor_worker.filter.errors,,Errors
qor_worker.filter.running,,Running
qor_worker.filter.scheduled,,Scheduled
qor_worker.form.successfully_created,,{{.Name}} was successfully created
qor_worker.job_groups.Export/Import Translations From CSV file,,Export/Import Translations From CSV file
qor_worker.jobs.Export Translations,,Export Translations
recover.button,Recover,重置
recover.confirm_email,Email Confirmation:,确认邮箱地址:
recover.email,Email:,邮箱地址:
recover_complete.button,Recover,重置
recover_complete.confirm_new_password,New Password Confirmation:,确认新密码:
recover_complete.new_password,New Password:,新密码:
register.button,Register,注册
register.confirm_password,Confirm Password,确认密码
register.email,Email:,邮箱地址:
register.password,Password:,密码:
scheduled_events.attributes.Scheduled End At.placeholder,,Scheduled End At
scheduled_events.attributes.Scheduled Start At.placeholder,,Scheduled Start At
scheduled_events.name.plural,,Events
scheduled_events.tables.no_items,,No events to show.
schedules.name.plural,,Schedules
selected_products_arguments.attributes.Products,,Products
seo_global_settings.attributes.Site Name,,Site Name
shop_settings.attributes.COD Fee,,COD Fee
shop_settings.attributes.Company Address,,Company Address
shop_settings.attributes.Company Address.Address,,Address
shop_settings.attributes.Company Address.City,,City
shop_settings.attributes.Company Address.Country,,Country
shop_settings.attributes.Company Address.Region,,Region
shop_settings.attributes.Company Address.Search on Map,,Search on Map
shop_settings.attributes.Company Address.Set Address from Marker,,Set Address from Marker
shop_settings.attributes.Company Address.Zip,,Zip
shop_settings.attributes.Gift Wrapping Fee,,Gift Wrapping Fee
shop_settings.attributes.Shipping Fee,,Shipping Fee
shop_settings.attributes.Tax Rate,,Tax Rate
shop_settings.name,,Shop Setting
size_variations.attributes.Available Quantity,,Available Quantity
size_variations.attributes.Shareable Version,,Shareable Version
size_variations.attributes.Size,,Size
size_variations.attributes.Size.placeholder,,Select an Option
slide_images.attributes.Image,,Image
slide_images.attributes.Title,,Title
slide_images.attributes.add_Image,,Add Image
slide_show_arguments.attributes.Slide Images,,Slide Images
slide_show_arguments.attributes.add_Slide Image,,Add Slide Image
stores.actions.Delete,,Delete
stores.attributes.Address,,Address
stores.attributes.City,,City
stores.attributes.Country,,Country
stores.attributes.Email,,Email
stores.attributes.ID,,ID
stores.attributes.Owner,,Owner
stores.attributes.Phone,,Phone
stores.attributes.Region,,Region
stores.attributes.Store Name,,Store Name
stores.attributes.Zip,,Zip
stores.name.plural,,Stores
stores.tables.no_items,,No stores to show.
translations.name.plural,Translations,Translations
users.actions.Delete,,Delete
users.attributes.Addresses,,Addresses
users.attributes.Confirmed,,Confirmed
users.attributes.Email,,Email
users.attributes.Gender,,Gender
users.attributes.Gender.placeholder,,Select an Option
users.attributes.ID,,ID
users.attributes.Name,,Name
users.attributes.Password,,Password
users.attributes.Role,,Role
users.attributes.Role.placeholder,,Select an Option
users.attributes.add_Address,,Add Address
users.form.sections.Basic Information,,Basic Information
users.name,,User
widget_contents.actions.Delete,,Delete
widget_contents.actions.Localize,,Localize
widget_contents.actions.Preview,,Preview
widget_contents.attributes.Name,,Name
widget_contents.attributes.Template,,Template
widget_contents.attributes.Template.placeholder,,Select an Option
widget_contents.attributes.Widgets,,Widgets
widget_contents.attributes.Widgets.placeholder,,Select an Option
widget_contents.form.sections.Settings,,Settings
widget_contents.name,,Widget Content
widget_contents.name.plural,,Widget Contents
widget_contents.tables.no_items,,No widget contents to show.
workers.attributes.Created At,,Created At
workers.attributes.ID,,ID
workers.attributes.Name,,Name
workers.attributes.Status,,Status
workers.name,,Worker
workers.name.plural,,Workers
workers.tables.no_items,,No workers to show.
zh-CN,zh-CN,zh-CN
